成品代號,成品名稱
129AC001,低卡檸檬愛玉風味180gX6包X4組
129AG001,低卡咖啡凍-180gX6包X4盒
129AR001,EnergyTime活力充沛(荔枝口味)180gX6包X4組
129AR002,零卡蒟蒻(荔枝風味)180gX6包X4盒
129AR003,EnergyTime機能凍飲GABA PLUS(荔枝口味)180gX6包X4組
129AT001,低卡芒果布丁180gX6包X4組
129AU003,EnergyTime機能凍飲元氣PLUS-180gX6包X4盒
129AU004,EnergyTime機能凍飲電解質PLUS-180gX6包X4盒
129AU006,低卡蜂蜜仙草-180gX6包X4盒
129AY001,蒟蒻習慣-葡萄蒟蒻180gX6包X6盒
129AY002,EnergyTime活力充沛(白葡萄口味)180gX6包X4組
129AY002A,EnergyTime機能凍飲Vitamin PLUS(白葡萄口味)180gX6包X4盒
129AY003,零卡蒟蒻(巨峰葡萄風味)180gX6包X4盒
129BM001,EnergyTime益生菌(乳酸口味)180gX6包X4組
129BQ001,EnergyTime益生菌(蘋果口味)180gX6包X4組
129BU001,EnergyTime晶亮有神(綜合莓果口味)180gX6包X4組
129CE001,蒟蒻習慣-白桃蒟蒻180gX6包X6盒
329AU001,綜合胺基酸活力果凍1200g/盒
329AU002,綜合胺基酸活力果凍100gX12包/盒
329AW001,爭鮮蜜桃姬膠原蛋白凍飲180gX6包X6組
829AY001,(外)蒟蒻習慣-葡萄蒟蒻180gX6包X6盒
829CE001,(外)蒟蒻習慣-白桃蒟蒻180gX6包X6盒
102AU012,水果多果實180gX6粒X4組
102AU012A,水果多果實(網路貼標版)180gX6粒X4組
102AU013,綜合鮮果凍180gX6粒X4組
102AU016,蘋果鳳梨多果實180gX6粒X4組
102AY009,零卡果凍-白葡萄180gX6粒X4組
102AY009A,零卡果凍-白葡萄口味(2025年版)180gX6粒X4組
102AY014,葡萄多果實180gX6粒X4組
102AY014A,葡萄多果實(網路貼標版)180gX6粒X4組
102BA010,橘瓣鮮果凍(2014版)180gX6粒X4組
102BA012,蜜柑多果實(無價格標)180gX6粒X4組
102BA012A,蜜柑多果實(網路貼標版)180gX6粒X4組
102CE008,白桃多果實180gX6粒X4組
102CE008B,白桃多果實(網路貼標版)180gX6粒X4組
114AA006,優酪果園-草莓 180g X 6粒 X 4組入
302AT004A,(爭鮮)布丁-芒果(新配方)110gX12粒X4組
302AT007,(爭鮮)布丁-芒果110gX3粒X16條
302AX002,(味全)愛玉凍130gX10粒X4組
702AA008,(外)KOALA純果凍-草莓130gX8粒X3組
702AA009,(外)KOALA零卡果凍-草莓130gX8粒X3組
