品號,品名,中類名稱,貨品規格,庫位
319AU004,(台酒)紅麴捲心酥禮盒(日式抹茶/清新檸檬)800gX8盒,捲心酥,捲心酥包裝,B4
319AU004-CZ,(半)台酒紅麴捲心酥禮盒(日式抹茶)400GX8盒,(半)捲心酥半成品,捲心酥包裝,B5
319AU004-AC,(半)台酒紅麴捲心酥禮盒(清新檸檬)400GX8盒,(半)捲心酥半成品,捲心酥包裝,B6
125AN016,法式奶油千層酥禮盒510gX6盒,派&滾印餅乾,派包裝,B7
925AN003,(半)法式奶油千層酥85g/包,(半)派&滾印餅乾半成品,派包裝,B8
104AU004A,"手製煎餅綜合禮盒(花生+綠藻,2023年版)470gX6盒",煎餅,煎餅包裝,B9
904AU004AA,(半)手製煎餅禮盒-花生78.33g(以包計),(半)煎餅半成品,煎餅包裝,B10
904AU004AB,(半)手製煎餅禮盒-綠藻78.33g(以包計),(半)煎餅半成品,煎餅包裝,B11
104AU007,手燒煎餅禮盒(花生+綠藻)470gX6盒,煎餅,煎餅包裝,B12
904AU007A,(半)手燒煎餅禮盒-花生78.33g(以包計),(半)煎餅半成品,煎餅包裝,B13
904AU007B,(半)手燒煎餅禮盒-綠藻78.33g(以包計),(半)煎餅半成品,煎餅包裝,B14
805AU009,(外)捲心餅禮盒-咖啡+榛果巧克力700gX6罐,捲心餅,捲心餅包裝,B15
805AU009-AG,(半)捲心餅禮盒-咖啡350G*6罐  ,(半)捲心餅半成品,捲心餅包裝,B16
805AU009-AJ,(半)捲心餅禮盒-榛果巧克力350G*6罐,(半)捲心餅半成品,捲心餅包裝,B17
107AU002,法國酥禮盒-綜合450gX6盒,法國酥,法國酥包裝,B18
107AU003,HelloKitty法國薄酥禮盒-綜合450gX6盒,法國酥,法國酥包裝,B19
807AU004,(外)HelloKitty法國薄酥禮盒(TRIKO版)-綜合450gX6盒,法國酥,法國酥包裝,B20
807AU009A,(外)法國酥禮盒(ATTI年節版)-綜合450gX6盒,法國酥,法國酥包裝,B21
807AU009B,(外)法國酥禮盒(ATTI版)-綜合450gX6盒,法國酥,法國酥包裝,B22
907AA007,(半)法國酥禮盒-草苺75g(以包計),(半)法國酥半成品,法國酥包裝,B23
907AG001,(半)法國酥禮盒-咖啡75g(以包計),(半)法國酥半成品,法國酥包裝,B24
807AU001,(外)法國酥禮盒-綜合 700g X 6罐入,法國酥,法國酥包裝,B25
807AU001-AA,(半)法國酥禮盒-草莓 350g X 6罐入,(半)法國酥半成品,法國酥包裝,B26
807AU001-BK,(半)法國酥禮盒-桔子 700g X 6罐入,(半)法國酥半成品,法國酥包裝,B27
934AN001,(半)微笑河馬餅-空餅(以kg計),(半)河馬餅半成品,蘇打餅包裝日,B28
134AD001,微笑河馬餅-巧克力風味60gX12包,河馬餅,蘇打餅包裝日,B29
134AD005,微笑河馬餅-純黑巧克力風味84gX12包,河馬餅,蘇打餅包裝日,B30
134AH001,微笑河馬餅-牛奶風味60gX12包,河馬餅,蘇打餅包裝日,B31
134AU001,微笑河馬餅-草莓巧克力風味60gX12包,河馬餅,蘇打餅包裝日,B32
134BG001,微笑河馬餅-奶茶風味84gX12包,河馬餅,蘇打餅包裝日,B33
